Gene ID,Gene Name,Design Element,'mbf1c mutant' vs 'wild type' at '0 minute'.foldChange,'mbf1c mutant' vs 'wild type' at '0 minute'.pValue,'mbf1c mutant' vs 'wild type' at '0 minute'.tStat,'mbf1c mutant' vs 'wild type' at '20 minute'.foldChange,'mbf1c mutant' vs 'wild type' at '20 minute'.pValue,'mbf1c mutant' vs 'wild type' at '20 minute'.tStat,'mbf1c mutant' vs 'wild type' at '60 minute'.foldChange,'mbf1c mutant' vs 'wild type' at '60 minute'.pValue,'mbf1c mutant' vs 'wild type' at '60 minute'.tStat
AT2G47310,AT2G47310,260576_at,-0.1,0.962908565860548,-0.475284764430568,,,,,,
AT2G47320,CYP21-3,260530_at,-0.1,0.960991140134083,-0.520701473699094,,,,,,
AT2G47340,AT2G47340,260577_at,-0.1,0.954458871645888,-0.781596632192826,,,,,,
AT2G47350,AT2G47350,260578_at,0.1,0.959171010660004,0.698028144177404,,,,,,
AT2G47380,AT2G47380,260579_at,0.1,0.953143672175718,1.24517775993122,,,,,,
AT2G47390,AT2G47390,260580_at,0.1,0.953143672175718,1.12799757664232,,,,,,
AT2G47420,DIM1A,245122_at,-0.1,0.959171010660004,-0.684960216732245,,,,,,
AT2G47430,CKI1,245125_at,-0.1,0.953143672175718,-0.998508226144365,,,,,,
AT2G47440,AT2G47440,245176_at,-0.3,0.953143672175718,-1.07376578702375,,,,,,
AT2G47450,CAO,245123_at,-0.2,0.954458871645888,-0.849629300222423,,,,,,
AT2G47460,MYB12,245126_at,0.1,0.954458871645888,0.850348682694632,,,,,,
AT2G47470,PDIL2-1,245175_at,0.2,0.954253784789457,0.868162699137073,,,,,,
AT2G47490,NDT1,245152_at,-0.5,0.953143672175718,-1.55458927403921,,,,,,
AT2G47520,ERF071,245173_at,0.1,0.960040916962731,0.545505627548493,,,,,,
AT2G47540,AT2G47540,245172_at,-0.2,0.953143672175718,-2.36635364969161,,,,,,
AT2G47550,PME20,245151_at,-0.1,0.953143672175718,-1.14116306647873,,,,,,
AT2G47580,U1A,245124_at,-0.1,0.953143672175718,-1.01672238023167,,,,,,
AT2G47590,PHR2,245150_at,0.1,0.961737379567544,0.500592375363537,,,,,,
AT2G47600,MHX,245127_at,0.1,0.96502227053573,0.443504650841576,,,,,,
AT2G47610,RPL7AA,245121_at,0.2,0.953143672175718,1.07790362139981,,,,,,
AT2G47620,SWI3A,245149_at,0.3,0.953143672175718,1.20965740094074,,,,,,
AT2G47640,AT2G47640,266482_at,0.4,0.953143672175718,2.24963715830588,,,,,,
AT2G47680,AT2G47680,266511_at,0.2,0.953143672175718,1.75126204995031,,,,,,
AT2G47690,AT2G47690,266512_at,0.1,0.953143672175718,1.14755580857018,,,,,,
AT2G47700,RFI2,266513_at,-0.1,0.975252183181083,-0.291478305606394,,,,,,
AT2G47710,AT2G47710,266458_at,-0.2,0.954458871645888,-0.851684715672463,,,,,,
AT2G47730,GSTF8,266461_at,-0.3,0.953143672175718,-1.66430338402702,,,,,,
AT2G47750,GH3.9,266465_at,-0.2,0.961582358355734,-0.509500957942689,,,,,,
AT2G47760,ALG3,266467_at,0.1,0.962312862935318,0.484884309213361,,,,,,
AT2G47770,TSPO,266462_at,-0.1,0.960991140134083,-0.533666687326826,,,,,,
AT2G47790,GTS1,266466_at,0.1,0.967591374490665,0.387150222759659,,,,,,
AT2G47800,ABCC4,266464_at,0.5,0.953143672175718,1.64114897040264,,,,,,
AT2G47840,TIC20-II,266463_at,0.1,0.953143672175718,0.985054435879666,,,,,,
AT2G47850,AT2G47850,266506_at,0.1,0.959171010660004,0.686051299446207,,,,,,
AT2G47880,GRXC13,266516_at,-0.6,0.953143672175718,-3.61951631734048,,,,,,
AT2G47890,COL13,266514_at,0.3,0.953143672175718,1.47164823255114,,,,,,
AT2G47900,AtTLP3,266515_at,-0.1,0.954458871645888,-0.853357974762368,,,,,,
AT2G47910,CRR6,266483_at,0.1,0.953143672175718,1.18387156919043,,,,,,
AT2G47920,NET3C,266508_at,0.3,0.953143672175718,2.06483132224159,,,,,,
AT2G47940,DEGP2,266509_at,0.1,0.980371265573574,0.241959140973788,,,,,,
AT2G47950,AT2G47950,266486_at,0.1,0.954458871645888,0.777050390733604,,,,,,
AT2G47990,SWA1,266510_at,0.3,0.954253784789457,0.858010238947761,,,,,,
AT2G48020,AT2G48020,265768_at,-0.2,0.959171010660004,-0.586700591760766,,,,,,
AT2G48030,AT2G48030,265771_at,0.1,0.960991140134083,0.526722039957169,,,,,,
AT2G48060,AT2G48060,265763_at,0.2,0.953143672175718,1.82338821865804,,,,,,
AT2G48090,AT2G48090,265769_at,-0.1,0.953143672175718,-1.36945645914429,,,,,,
AT2G48100,AT2G48100,265770_at,-0.3,0.953143672175718,-2.55259840072463,,,,,,
AT2G48110,MED33B,265767_at,-0.2,0.953143672175718,-1.74297971965511,,,,,,
AT2G48120,PAC,262316_at,0.3,0.953143672175718,0.975003490961249,,,,,,
AT2G48160,AT2G48160,262348_at,-0.1,0.954458871645888,-0.798502961927541,,,,,,
AT3G01010,AT3G01010,259263_at,0.1,0.959171010660004,0.618647277104653,,,,,,
AT3G01015,AT3G01015,258442_at,0.3,0.953143672175718,2.61523598282821,,,,,,
AT3G01020,ISU2,259262_at,-0.2,0.953143672175718,-1.50051533606476,,,,,,
AT3G01040,GAUT13,259321_at,0.1,0.953143672175718,1.2931492027232,,,,,,
AT3G01060,AT3G01060,259275_at,-0.4,0.953143672175718,-1.33756733288203,,,,,,
AT3G01070,ENODL16,259268_at,,,,,,,-0.1,0.99420383898272,-0.0907451922423512
AT3G01090,AT3G01090,259319_at,-0.1,0.966726010498673,-0.412998763385077,,,,,,
AT3G01100,HYP1,259318_at,-0.1,0.953143672175718,-1.03507741773225,,,,,,
AT3G01120,CGS1,259279_at,-0.1,0.960991140134083,-0.520964043576508,,,,,,
AT3G01130,AT3G01130,259267_at,-0.1,0.962312862935318,-0.481490602768379,,,,,,
AT3G01140,MYB106,259281_at,-0.1,0.959171010660004,-0.645451695843208,,,,,,
AT3G01150,PTB,259280_at,0.1,0.959171010660004,0.666002341749698,,,,,,
AT3G01160,AT3G01160,259278_at,0.2,0.96649378439825,0.418862764258888,,,,,,
AT3G01170,AT3G01170,259271_at,0.2,0.953143672175718,1.13255381013053,,,,,,
AT3G01190,PER27,259276_at,-0.1,0.960991140134083,-0.53688943270859,,,,,,
AT3G01200,RP2,259315_at,0.1,0.959171010660004,0.678714954165318,,,,,,
AT3G01240,AT3G01240,259266_at,0.1,0.960040916962731,0.545608172274768,,,,,,
AT3G01260,AT3G01260,259264_at,-0.2,0.953143672175718,-1.75804857386209,,,,,,
AT3G01270,AT3G01270,259269_at,-0.2,0.953143672175718,-1.51921215365935,,,,,,
AT3G01290,HIR3,259272_at,-0.3,0.953143672175718,-0.947153309515919,,,,0.1,0.99214789337887,0.321493100784245
AT3G01320,SNL1,259117_at,0.2,0.953143672175718,0.948249845960941,,,,,,
AT3G01340,SEC13A,259119_at,0.1,0.953143672175718,1.02314528264616,,,,,,
AT3G01350,NPF5.9,259116_at,0.1,0.96649378439825,0.414373103759147,,,,,,
AT3G01360,AT3G01360,259115_at,-0.1,0.960991140134083,-0.536680696064535,,,,,,
AT3G01370,CFM2,258949_at,0.2,0.953143672175718,1.53258895363746,,,,,,
AT3G01390,VHA-G1,258958_at,0.1,0.954458871645888,0.796980322312166,,,,,,
AT3G01400,AT3G01400,258954_at,-0.1,0.954458871645888,-0.791776652118751,,,,,,
AT3G01410,AT3G01410,258952_at,0.4,0.953143672175718,3.50161527099269,,,,,,
AT3G01420,DOX1,258957_at,-0.5,0.953143672175718,-2.62919393523639,,,,,,
AT3G01430,AT3G01430,258953_at,-0.4,0.953143672175718,-1.64502210291562,,,,,,
AT3G01440,PNSL3,258956_at,0.2,0.961582358355734,0.511488314573165,,,,0.6,0.775531111638817,1.03035028211947
AT3G01460,MBD9,258950_at,-0.1,0.954458871645888,-0.849020549671145,,,,,,
AT3G01470,HAT5,259165_at,-0.4,0.953143672175718,-2.17079692881147,,,,,,
AT3G01480,CYP 38.00,259193_at,-0.1,0.969290465918195,-0.370070000060808,,,,,,
AT3G01490,AT3G01490,259163_at,-0.3,0.953143672175718,-1.04216779277197,,,,-0.4,0.818397170214796,-0.866746978016898
AT3G01500,BCA1,259161_at,-0.1,0.972874343397927,-0.328387726348757,,,,,,
AT3G01510,LSF1,259188_at,0.1,0.96649378439825,0.416109585787487,,,,,,
AT3G01520,AT3G01520,259184_at,-0.1,0.980371265573574,-0.23927949312381,,,,,,
AT3G01550,PPT2,259185_at,-0.3,0.959171010660004,-0.582916285310289,-0.1,0.980970254397728,-0.180323678559085,-0.9,0.63234374206206,-1.57643903199531
AT3G01560,AT3G01560,259175_at,0.1,0.959171010660004,0.634060271246989,,,,,,
AT3G01570,AT3G01570,259167_at,-0.2,0.959171010660004,-0.723562309275488,,,,,,
AT3G01580,PCMP-E87,259183_at,-0.2,0.953143672175718,-1.28814853998438,,,,,,
AT3G01590,AT3G01590,259186_at,0.2,0.958774771788813,0.732825017732548,,,,,,
AT3G01610,CDC48C,259176_at,0.2,0.953143672175718,1.29033830850766,,,,,,
AT3G01620,AT3G01620,257523_at,-0.2,0.953143672175718,-1.16350541009481,,,,,,
AT3G01630,AT3G01630,259177_at,0.1,0.954253784789457,0.865124006523698,,,,,,
AT3G01640,ATGLCAK,259162_at,-0.1,0.966726010498673,-0.400379835817305,,,,,,
AT3G01660,AT3G01660,259179_at,0.2,0.953143672175718,0.907898233330616,,,,0.1,0.99420383898272,0.225402390950438
AT3G01670,AT3G01670,259166_at,0.1,0.971157310946901,0.35168136257738,,,,,,
AT3G01680,SEOB,259180_at,-0.1,0.982154802119526,-0.206051208497579,,,,,,
AT3G01690,AT3G01690,259181_at,-0.2,0.954458871645888,-0.848550054294118,,,,,,
AT3G01730,AT3G01730,259195_at,0.1,0.959171010660004,0.58563829581756,,,,,,
AT3G01750,AT3G01750,259182_at,0.1,0.959171010660004,0.629561611401545,,,,,,
AT3G01770,GTE11,259164_at,-0.2,0.953143672175718,-0.975974816923223,,,,,,
AT3G01780,TPLATE,259190_at,0.2,0.953143672175718,1.57142947782093,,,,,,
AT3G01790,AT3G01790,258995_at,0.1,0.970852086122508,0.355155421230081,,,,,,
AT3G01810,AT3G01810,258997_at,0.1,0.960991140134083,0.524176211808844,,,,,,
AT3G01820,AT3G01820,258998_at,-0.3,0.953143672175718,-1.13552504202921,,,,,,
AT3G01830,CML40,258947_at,0.1,0.959171010660004,0.592285862065494,,,,,,
AT3G01840,LYK2,259004_at,-0.1,0.959095922721702,-0.731431012063042,,,,,,
AT3G01850,AT3G01850,258999_at,-0.2,0.953143672175718,-1.17871841260176,,,,,,
AT3G01890,AT3G01890,258974_at,-0.1,0.954458871645888,-0.781681139636252,,,,,,
AT3G01910,SOX,258948_at,0.2,0.953143672175718,1.80078071891743,,,,,,
AT3G01920,AT3G01920,258972_at,-0.1,0.96502227053573,-0.444162360408314,,,,,,
AT3G01930,AT3G01930,259005_at,0.2,0.959171010660004,0.720368448080764,,,,,,
AT3G01960,AT3G01960,259001_at,0.1,0.9718026617393,0.338355091710139,,,,,,
AT3G01970,WRKY45,258975_at,-0.3,0.953143672175718,-1.80810743706508,,,,,,
AT3G01980,AT3G01980,258976_at,-0.2,0.953143672175718,-1.46907023732524,,,,,,
AT3G02010,PCMP-H36,259003_at,0.1,0.953143672175718,0.933673601759038,,,,,,
AT3G02040,GDPD1,258856_at,0.4,0.954458871645888,0.80475119403326,,,,0.9,0.236239258548675,3.21086011332933
AT3G02060,AT3G02060,258861_at,0.1,0.959171010660004,0.630882392299281,,,,,,
AT3G02070,AT3G02070,258855_at,-0.4,0.953143672175718,-1.42995810896889,,,,,,
AT3G02080,RPS19A,258858_at,0.1,0.953143672175718,1.10144439481964,,,,,,
AT3G02110,SCPL25,258857_at,-0.1,0.962312862935318,-0.484440341135593,,,,,,
AT3G02120,AT3G02120,258859_at,0.8,0.953143672175718,3.16876134079048,,,,,,
AT3G02170,LNG2,259104_at,-0.1,0.984356637630244,-0.184251770906823,,,,0.4,0.849707720434985,0.727843884427746
AT3G02180,SP1L3,259131_at,-0.2,0.953143672175718,-1.12231807999613,,,,,,
AT3G02190,RPL39B,259130_at,0.1,0.980054590585443,0.255571514525832,,,,,,
AT3G02250,OFUT21,259132_at,0.5,0.953143672175718,2.70312707923494,,,,,,
AT3G02280,ATR3,259126_at,0.1,0.953143672175718,0.886352276865263,,,,,,
AT3G02290,AT3G02290,259073_at,-0.2,0.959171010660004,-0.706248578573591,,,,,,
AT3G02300,AT3G02300,259125_at,-0.1,0.966097403496253,-0.424185288573159,,,,,,
AT3G02310,SEP2,259124_at,0.3,0.953143672175718,2.60925133852936,,,,,,
AT3G02320,AT3G02320,259075_at,-0.1,0.963964596032026,-0.455792321198807,,,,,,
AT3G02340,AT3G02340,256326_at,-0.1,0.962312862935318,-0.490652299537983,,,,,,
AT3G02380,COL2,258497_at,-1.0,0.953143672175718,-1.37647201465938,-0.8,0.894523619049639,-0.722630950424646,-1.1,0.725385794286952,-1.25178883425005
AT3G02390,AT3G02390,258492_at,0.2,0.953143672175718,2.18173589122562,,,,,,
AT3G02420,AT3G02420,258488_at,0.1,0.954458871645888,0.827895998688083,,,,,,
AT3G02440,TBL20,258479_at,-0.1,0.953143672175718,-1.0165664541468,,,,,,
AT3G02450,FTSHI3,258494_at,0.2,0.953143672175718,1.23246602401953,,,,,,
AT3G02460,AT3G02460,258496_at,0.1,0.975219922084204,0.294203105170723,,,,,,
AT3G02480,AT3G02480,258498_at,-0.1,0.987919998074416,-0.121801984615689,,,,-0.5,0.745318222069863,-1.1098870635879
AT3G02490,AT3G02490,258502_at,0.1,0.963964596032026,0.463536179409637,,,,,,
AT3G02500,AT3G02500,258503_at,0.1,0.980270492737165,0.253166814678208,,,,,,
AT3G02530,CCT6A,258482_at,0.1,0.958406767328527,0.734299034576297,,,,,,
AT3G02540,RAD23C,258499_at,-0.2,0.959171010660004,-0.656620513683677,,,,,,
AT3G02550,LBD41,258487_at,,,,,,,1.4,0.0788301191056517,5.07832656442386
AT3G02570,PMI1,258483_at,-0.1,0.978850020190008,-0.263343397941219,,,,,,
AT3G02580,STE1,258484_at,-0.1,0.953143672175718,-0.97995854563348,,,,,,
AT3G02640,AT3G02640,258480_at,0.3,0.953143672175718,1.60180536106284,,,,-0.4,0.900155166435667,-0.609801055250855
AT3G02650,AT3G02650,258474_at,0.3,0.953143672175718,1.20571418190665,,,,,,
AT3G02660,EMB2768,258475_at,0.3,0.953143672175718,1.78430016004562,,,,,,
AT3G02670,AT3G02670,258490_at,-0.3,0.953143672175718,-2.9631050780244,,,,,,
AT3G02700,AT3G02700,258491_at,-0.1,0.960200574616477,-0.540337123785167,,,,,,
AT3G02720,DJ1D,258622_at,-0.1,0.959866956228233,-0.558226803604128,,,,,,
AT3G02730,TRXF1,258607_at,-0.1,0.963964596032026,-0.463551710371781,,,,,,
AT3G02750,AT3G02750,258602_at,-0.2,0.953143672175718,-1.04799620229961,,,,,,
AT3G02760,AT3G02760,258601_at,0.2,0.954458871645888,0.835719435392241,,,,,,
AT3G02780,IPP2,258619_at,0.1,0.965530527952439,0.425307570178476,,,,,,
AT3G02790,MBS1,258623_at,0.1,0.970852086122508,0.354906300843968,,,,,,
AT3G02800,DSP3,257536_at,-0.1,0.967591374490665,-0.385668446723871,,,,,,
AT3G02820,AT3G02820,258630_at,0.3,0.953143672175718,3.04186216823702,,,,,,
AT3G02830,ZFN1,258621_at,0.1,0.953143672175718,0.97113789631365,,,,,,
AT3G02840,AT3G02840,258606_at,-0.2,0.953143672175718,-1.94195161336055,,,,,,
AT3G02850,SKOR,258629_at,-0.1,0.963964596032026,-0.454340489684837,,,,,,
AT3G02860,AT3G02860,258611_at,-0.2,0.953143672175718,-1.68438295194063,,,,,,
AT3G02885,GASA5,258618_at,-0.2,0.954253784789457,-0.87027509191059,,,,,,
AT3G02900,AT3G02900,258662_at,0.1,0.959171010660004,0.612338824037684,,,,,,
AT3G02910,AT3G02910,258609_at,-0.2,0.959171010660004,-0.726913452188923,,,,,,
AT3G02950,THO7B,258624_at,-0.1,0.974941953142443,-0.301176269482451,,,,,,
AT3G02970,EXL6,258605_at,-0.2,0.953143672175718,-1.23223737519674,,,,,,
AT3G02980,MCC1,258604_at,-0.1,0.975252183181083,-0.292835447290111,,,,,,
AT3G03000,CML18,258617_at,-0.3,0.954458871645888,-0.772772195623604,,,,,,
AT3G03020,AT3G03020,258608_at,0.1,0.954458871645888,0.796157977369714,,,,,,
AT3G03040,AT3G03040,257530_at,0.2,0.953143672175718,1.13241312729797,,,,,,
AT3G03050,CSLD3,258850_at,0.2,0.953143672175718,1.01604348870717,,,,,,
AT3G03060,AT3G03060,258871_at,0.1,0.976802792113913,0.277762360746905,,,,,,
AT3G03100,AT3G03100,258847_at,0.1,0.953143672175718,0.909264929708288,,,,,,
AT3G03110,XPO1B,258868_at,-0.3,0.953143672175718,-2.91508207204439,,,,,,
