Gene ID,Gene Name,Design Element,'mbf1c mutant' vs 'wild type' at '0 minute'.p-value,'mbf1c mutant' vs 'wild type' at '0 minute'.t-statistic,'mbf1c mutant' vs 'wild type' at '0 minute'.log2foldchange,'mbf1c mutant' vs 'wild type' at '20 minute'.p-value,'mbf1c mutant' vs 'wild type' at '20 minute'.t-statistic,'mbf1c mutant' vs 'wild type' at '20 minute'.log2foldchange,'mbf1c mutant' vs 'wild type' at '60 minute'.p-value,'mbf1c mutant' vs 'wild type' at '60 minute'.t-statistic,'mbf1c mutant' vs 'wild type' at '60 minute'.log2foldchange
AT1G18660,,261376_at,0.967591374490665,-0.381339561330107,-0.1,NA,-1.44747529308322,-0.2,NA,-0.835839104217436,-0.1
AT1G18670,IBS1,261427_at,0.973879941402556,0.317336455838185,0.1,NA,0.642315620438475,0.1,NA,0.484050555276441,0.1
AT1G18680,,261426_at,0.953143672175718,-1.00779794795671,-0.1,NA,-1.61272701710072,-0.2,NA,-1.72714829561981,-0.4
AT1G18690,XXT4,261404_at,0.961737379567544,-0.502802744734129,-0.1,NA,-2.82962115412266,-0.3,NA,-2.61445009608356,-0.3
AT1G18700,,261424_at,0.982301079442021,0.204691800492528,0,NA,-1.58011433402453,-0.3,NA,-1.95790155996473,-0.3
AT1G18710,AtMYB47,261431_at,0.953143672175718,2.70229447610236,0.5,0.869684524117543,0.821918794138309,0.4,NA,0.0494962689429479,0
AT1G18720,,261379_at,0.996204240714584,0.0422473659449038,0,NA,0.301843192379387,0,NA,0.59397341825133,0.1
AT1G18730,PNSB4,261422_at,0.953143672175718,1.00645828431933,0.1,NA,-0.369114110550459,-0.1,NA,1.33740328243868,0.2
AT1G18740,,261405_at,0.953143672175718,-1.20302050906002,-0.3,NA,0.394815641706351,0.1,NA,1.04104207829919,0.4
AT1G18750,AGL65,261423_at,0.953143672175718,-1.00902324196787,-0.2,NA,-0.300545088005305,0,NA,-0.733298275857179,-0.1
AT1G18800,NRP2,261406_at,0.96884431840127,0.372047356274421,0.1,NA,-0.161901398764583,0,NA,-0.788802751531272,-0.2
AT1G18810,PKS3,261407_at,0.953143672175718,-1.03671486196838,-0.3,NA,-0.180164726205405,-0.1,0.51353448922738,-1.87958576990361,-0.8
AT1G18830,SEC31A,261430_at,NA,-0.793198342368218,-0.1,NA,-1.71418081939249,-0.2,NA,-0.351201101640597,0
AT1G18840,IQD 30,261421_at,0.999661359746599,-0.000952027498591778,0,NA,0.227300384987427,0,NA,-1.38408588068753,-0.3
AT1G18850,,261377_at,0.970852086122508,0.357396992508378,0.1,NA,-0.491570479716515,-0.1,NA,-0.404769762303081,-0.1
AT1G18860,WRKY61,261429_at,NA,-0.40454005572339,0,NA,-1.36953717444088,-0.2,NA,-0.93352916641698,-0.1
AT1G18870,ICS2,261428_at,0.953143672175718,1.11596302023543,0.2,NA,-0.438261592272601,-0.1,NA,-1.65251060603548,-0.3
AT1G18880,NPF2.9,261425_at,0.964698235980135,0.44825230665007,0.1,NA,0.471378610160202,0.1,NA,-0.210644780884535,0
AT1G18890,CPK10,261378_at,0.953143672175718,-0.899411147346595,-0.2,NA,0.278199499580511,0,NA,-0.178277850121314,0
AT1G18900,,259461_at,0.994217198292561,-0.0563647848302826,0,NA,-0.00155887005010901,0,NA,0.105404509949368,0
AT1G18910,,259472_at,0.953143672175718,-1.19060183971731,-0.2,NA,-1.32590595722194,-0.2,NA,-1.11740355555358,-0.2
AT1G18940,,259462_at,0.953143672175718,-1.03191905366998,-0.1,NA,0.553721969704747,0.1,NA,0.733515231556632,0.1
AT1G18950,,259463_at,NA,-0.802036547900443,-0.1,NA,0.211887469862034,0,NA,1.98220243006581,0.4
AT1G18970,GLP1,259481_at,0.953143672175718,-1.41995034969464,-0.2,NA,-1.03720813343215,-0.2,NA,-1.43918774540633,-0.2
AT1G18980,,259478_at,0.953143672175718,-2.2228748712838,-0.4,NA,-0.187395178684445,0,NA,0.0610607691060897,0
AT1G18990,MYOB5,259464_at,NA,0.104062146200733,0,NA,0.544074118181309,0.1,NA,-0.832670732289503,-0.1
AT1G19000,,259476_at,0.957569942940316,-0.751244504476825,-0.2,NA,0.160064044409399,0,NA,-1.32252311772847,-0.3
AT1G19010,,259480_at,0.987126740214864,-0.13561862909507,0,NA,0.250708541080842,0,NA,-0.41387751437893,-0.1
AT1G19020,,259479_at,0.953143672175718,-1.58850506826695,-0.5,0.996965539297179,0.0643955086025041,0,0.910122352631358,0.566555676514464,0.4
AT1G19025,,259473_at,0.953143672175718,-0.904917162230768,-0.1,NA,0.176656156826484,0,NA,0.637185121007058,0.1
AT1G19040,,259471_at,0.953143672175718,-1.54736457275123,-0.2,NA,0.581122521615833,0.1,NA,-1.17002621740594,-0.1
AT1G19050,ARR7,259466_at,0.953143672175718,-1.90725046926337,-0.5,0.0681828882552612,3.60242909027834,1.3,NA,2.45796667079124,0.6
AT1G19060,,259467_at,NA,-0.348793205359432,0,NA,-0.59945204048287,-0.1,NA,-0.661610678310993,-0.1
AT1G19090,RKF2,259482_at,0.984356637630244,-0.177171155708499,0,NA,-0.761546656477045,-0.1,NA,1.42040524956858,0.2
AT1G19100,MORC6,259469_at,NA,-0.497513328053925,-0.1,NA,-0.864865520487709,-0.1,NA,-1.90124526766318,-0.3
AT1G19110,,259470_at,0.953143672175718,-1.31004950122519,-0.2,NA,-0.678947519514015,-0.1,NA,1.48608293320885,0.2
AT1G19120,LSM1A,259477_at,NA,-0.795523748451059,-0.1,NA,-0.263418496300544,0,NA,-1.12789956277535,-0.1
AT1G19130,,259474_at,0.959328898362578,-0.561263501626046,-0.1,NA,0.0955300289314351,0,NA,-0.534142017515049,-0.1
AT1G19140,,259475_at,0.998897309326394,-0.00735213845434444,0,NA,-1.39068814993138,-0.2,NA,-0.762580892362574,-0.2
AT1G19150,LHCA6,256015_at,0.954458871645888,-0.786590182303642,-0.1,NA,-0.165370002452458,0,NA,0.0531655701882858,0
AT1G19160,,256037_at,0.953143672175718,-1.01320539036945,-0.2,NA,-0.943218923104535,-0.1,NA,1.11764101146454,0.2
AT1G19170,,256038_at,NA,-0.309727312291947,0,NA,1.10011948691648,0.2,NA,0.30336162825417,0
AT1G19180,TIFY10A,256017_at,0.953143672175718,-2.52785417104052,-0.3,0.812994227041864,0.943897333137038,0.5,0.77369647165775,1.05099918967678,0.7
AT1G19190,CXE1,256039_at,0.953143672175718,-1.3393440757816,-0.2,NA,-0.641298309563458,-0.1,NA,0.511925072179226,0.1
AT1G19200,FLZ12,256014_at,0.962312862935318,0.49353737798585,0.1,NA,-2.77998983730182,-0.3,NA,-0.851308048785733,-0.1
AT1G19210,ERF017,256009_at,0.953143672175718,-1.21960672592287,-0.1,NA,0.229768857256646,0,NA,-0.00535906331338423,0
AT1G19220,ARF19,256010_at,0.966726010498673,-0.398489850239443,-0.1,NA,0.356696456268368,0.1,NA,0.301078875334572,0.1
AT1G19230,RBOHE,256011_at,0.953143672175718,1.0095404416135,0.1,NA,-0.918026502957476,-0.1,0.87525231880064,0.664977672023985,0.3
AT1G19240,,256016_at,0.984356637630244,-0.175690178340561,0,NA,0.0764643610534589,0,NA,1.33854180655757,0.2
AT1G19250,FMO1,256012_at,NA,0.550143112204826,0.1,NA,-0.942904158602218,-0.1,NA,0.78991008880855,0.1
AT1G19270,DA1,256013_at,0.954458871645888,-0.772592970232511,-0.1,NA,-0.510390340389297,-0.1,NA,1.75880032261448,0.3
AT1G19290,,260654_at,0.953143672175718,1.94935925356823,0.3,NA,-0.129040710500857,0,NA,0.149452393314008,0
AT1G19300,GATL1,260666_at,0.953143672175718,-1.73784429871148,-0.4,NA,2.08587921439398,0.4,NA,-1.33333531749004,-0.2
AT1G19310,,260671_at,0.959171010660004,-0.614039309278006,-0.1,NA,0.611186323678618,0.1,NA,1.14126421842155,0.2
AT1G19320,,260655_at,0.972874343397927,0.327858104934555,0,NA,-0.422632034984979,-0.1,NA,1.75599366630232,0.3
AT1G19330,,260673_at,0.953143672175718,-0.928287851670181,-0.2,NA,-1.00274751109445,-0.2,NA,-0.504976597009398,-0.1
AT1G19340,,260669_at,0.953143672175718,-2.51953567685276,-0.3,NA,-1.66121307141694,-0.3,NA,0.74560668920933,0.1
AT1G19360,RRA3,260665_at,0.953143672175718,-1.6346598746767,-0.2,NA,-0.00689470099831188,0,NA,-0.516914967036431,-0.1
AT1G19370,,260674_at,0.954458871645888,0.817455994673753,0.1,NA,0.128798295796572,0,NA,0.745004170089717,0.2
AT1G19380,,260656_at,0.953143672175718,-1.85587225000068,-0.3,NA,2.21267417228884,0.7,0.301812734105521,2.87679039790293,1.2
AT1G19390,WAKL11,260657_at,0.953143672175718,1.28824435922647,0.1,NA,-0.653043114497972,-0.1,NA,0.912678550688276,0.1
AT1G19410,,260658_at,0.953143672175718,1.003864445149,0.1,NA,-1.28269227207471,-0.2,NA,-0.747861545822588,-0.1
AT1G19430,,260675_at,0.957088940782599,0.756888916264455,0.1,NA,-2.12238861747976,-0.3,NA,-1.54534811201629,-0.2
AT1G19440,KCS4,260667_at,0.959171010660004,-0.635780533766449,-0.1,NA,-1.46997859646155,-0.2,NA,-0.887372756392144,-0.1
AT1G19450,,260676_at,0.953143672175718,-1.36102823423714,-0.6,NA,-1.31342094309156,-0.3,NA,-0.930968465403861,-0.4
AT1G19480,,260672_at,0.965318319131204,0.437754496795243,0.1,NA,-0.530691087790428,-0.1,NA,-0.288220318451337,0
AT1G19485,,260660_at,0.959171010660004,0.570506692737036,0.1,NA,0.275640040256097,0.1,NA,-0.419394293543968,-0.1
AT1G19500,,260661_at,0.956044959703157,-0.76348993068066,-0.1,NA,-1.68192759499112,-0.2,NA,0.608370316995001,0.1
AT1G19510,RL5,260664_at,0.958063966855152,-0.736128301702115,-0.3,NA,-0.822279145880189,-0.1,NA,-0.361911850676,-0.1
AT1G19520,NFD5,260663_at,0.959171010660004,0.618831378616408,0.2,NA,-0.667171462779639,-0.2,NA,0.626426017935924,0.1
AT1G19530,,260668_at,0.974184460692411,0.31002055700714,0.1,NA,-0.371623643516175,0,NA,0.0237698886970396,0
AT1G19540,,260662_at,0.966839096680943,-0.395934152882352,-0.1,NA,-0.0765051927550663,0,NA,-0.879142462887007,-0.1
AT1G19580,GAMMACA1,261148_at,0.9718026617393,0.340423969196423,0,NA,1.40305915722058,0.2,NA,-1.01723739116876,-0.2
AT1G19600,,261136_at,0.959171010660004,0.723523375404845,0.1,NA,0.180279508776466,0,NA,-0.569583896819358,-0.1
AT1G19610,PDF1.4,261135_at,0.954458871645888,-0.829611609070118,-0.1,NA,1.03111164730443,0.2,NA,-0.535244279333661,-0.2
AT1G19620,,261146_at,0.959171010660004,-0.668814187327975,-0.1,NA,0.0700913498828711,0,NA,-0.230903106656813,0
AT1G19630,CYP722A1,261134_at,0.953143672175718,1.27417761080679,0.2,NA,0.823516207849551,0.2,NA,-0.189434347466237,0
